1000.1	708
1000.1	3375
1000.1	6087
1000.1	6754
1000.2	1541
1000.2	6941
1000.2	11939
1000.3	3930
1000.3	7617
1000.3	8698
1000.3	9166
1000.4	925
1000.4	5888
1000.4	6749
1000.4	10343
1000.4	12346
1000.6	1257
1000.6	6114
1000.6	7780
1000.6	8508
1000.6	12065
1000.7	38
1000.7	438
1000.7	798
1000.7	1237
1000.7	1695
1000.7	3745
1000.7	6967
1000.7	8024
1000.8	429
1000.8	2072
1000.8	4622
1000.8	9423
1000.8	10801
1000.8	12087
1000.9	824
1000.9	4637
1000.9	5855
1000.9	8442
1000.9	8533
1001	1367
1001.1	1978
1001.1	3297
1001.1	3364
1001.1	6809
1001.1	7785
1001.1	8597
1001.1	9861
1001.1	10927
1001.2	1347
1001.2	1434
1001.2	1622
1001.2	1811
1001.2	2128
1001.2	2448
1001.2	5766
1001.2	6516
1001.2	8538
1001.2	11685
1001.3	1966
1001.3	2138
1001.3	3682
1001.3	8482
1001.3	8991
1001.3	10484
1001.3	12158
1001.4	1074
1001.4	1206
1001.4	1561
1001.4	1571
1001.4	4926
1001.4	5448
1001.4	8428
1001.4	8577
1001.4	8981
1001.4	10026
1001.4	10844
1001.4	10888
1001.4	11074
1001.4	11216
1001.4	11218
1001.4	11734
1001.5	718
1001.5	1011
1001.5	2369
1001.5	2375
1001.5	4161
1001.5	8616
1001.5	9682
1001.5	10066
1001.5	10625
1001.5	12040
1001.6	141
1001.6	1211
1001.6	4446
1001.6	5898
1001.6	6022
1001.6	8280
1001.6	10896
1001.6	10936
1001.6	11875
1001.7	22
1001.7	958
1001.7	1778
1001.7	2747
1001.7	2795
1001.7	3910
1001.7	5412
1001.7	6465
1001.7	7631
1001.7	8411
1001.7	9137
1001.7	10943
1001.7	12209
1001.8	316
1001.8	604
1001.8	1802
1001.8	1922
1001.8	2424
1001.8	2454
1001.8	3852
1001.8	3881
1001.8	7166
1001.8	7752
1001.8	7976
1001.8	8724
1001.8	8860
1001.8	9694
1001.8	9843
1001.8	10109
1001.8	11719
1001.8	12273
1001.9	782
1001.9	1496
1001.9	2909
1001.9	3585
1001.9	3857
1001.9	4246
1001.9	8945
1001.9	9440
1001.9	12010
1001.9	12265
1001.9	12412
1002	130
1002	217
1002	795
1002	1179
1002	1531
1002	3287
1002	4150
1002	5094
1002	6172
1002	6386
1002	6590
1002	8582
1002	8672
1002	8928
1002	9351
1002	9743
1002	10832
1002	11193
1002	11511
1002.1	213
1002.1	784
1002.1	1160
1002.1	1625
1002.1	2088
1002.1	3462
1002.1	4152
1002.1	4293
1002.1	5756
1002.1	8022
1002.1	9216
1002.1	10173
1002.1	10357
1002.1	10741
1002.2	134
1002.2	462
1002.2	1185
1002.2	1399
1002.2	1556
1002.2	1936
1002.2	2718
1002.2	2733
1002.2	2977
1002.2	4071
1002.2	4154
1002.2	4249
1002.2	4522
1002.2	4910
1002.2	5028
1002.2	5621
1002.2	5669
1002.2	6600
1002.2	6630
1002.2	8326
1002.2	8802
1002.2	8880
1002.2	9503
1002.2	9561
1002.2	9978
1002.2	10170
1002.2	11496
1002.2	11637
1002.2	11641
1002.3	109
1002.3	378
1002.3	465
1002.3	856
1002.3	1219
1002.3	1639
1002.3	1801
1002.3	1810
1002.3	1914
1002.3	2067
1002.3	2650
1002.3	2793
1002.3	3039
1002.3	3325
1002.3	3392
1002.3	3770
1002.3	3861
1002.3	4016
1002.3	4072
1002.3	4109
1002.3	4200
1002.3	4294
1002.3	4420
1002.3	4458
1002.3	5722
1002.3	5938
1002.3	6180
1002.3	7410
1002.3	7575
1002.3	8390
1002.3	8738
1002.3	8844
1002.3	8958
1002.3	9172
1002.3	9409
1002.3	9621
1002.3	9981
1002.3	10389
1002.3	11222
1002.3	11235
1002.3	11921
1002.3	12091
1002.4	2
1002.4	218
1002.4	1358
1002.4	1585
1002.4	1815
1002.4	1853
1002.4	2040
1002.4	2212
1002.4	2391
1002.4	2531
1002.4	2625
1002.4	2768
1002.4	3613
1002.4	3621
1002.4	3736
1002.4	3748
1002.4	3969
1002.4	4002
1002.4	4115
1002.4	4660
1002.4	5204
1002.4	5627
1002.4	6037
1002.4	6247
1002.4	6816
1002.4	7807
1002.4	8075
1002.4	8774
1002.4	8849
1002.4	8967
1002.4	9770
1002.4	10253
1002.4	11241
1002.4	11577
1002.4	11827
1002.5	240
1002.5	1091
1002.5	1158
1002.5	1552
1002.5	1726
1002.5	2080
1002.5	2175
1002.5	2243
1002.5	2489
1002.5	3753
1002.5	3961
1002.5	6439
1002.5	6598
1002.5	7380
1002.5	7384
1002.5	7993
1002.5	8240
1002.5	8845
1002.5	8861
1002.5	9419
1002.5	10050
1002.5	10515
1002.5	10673
1002.5	11523
